Network,Aliases,Category,Marked,Philo,Sling Orange,Sling Blue,Sling Orange + Blue,AT&T TV Entertainment,AT&T TV Choice,AT&T TV Ultimate,AT&T TV Premier,YouTube TV,Hulu with Live TV,Fubo TV,KlowdTV,Frndly TV,Vidgo,Tvision Live TV,Tvision Live TV+,Tvision Live Zone,Tvision Vibe,Placeholder4,Placeholder5,Placeholder6,Placeholder7,Spectrum TV Essentials,Philo Chosen,Sling Orange Chosen,Sling Blue Chosen,Sling Orange + Blue Chosen,AT&T TV Entertainment Chosen,AT&T TV Choice Chosen,AT&T TV Ultimate Chosen,AT&T TV Premier Chosen,YouTube TV Chosen,Hulu with Live TV Chosen,Fubo TV Chosen,KlowdTV Chosen,Frndly TV Chosen,Vidgo Chosen,Tvision Live TV Chosen,Tvision Live TV+ Chosen,Tvision Live Zone Chosen,Tvision Vibe Chosen,Placeholder4 Chosen,Placeholder5 Chosen,Placeholder6 Chosen,Placeholder7 Chosen,Spectrum TV Essentials Chosen,Network Chosen,Philo qualify,Sling Orange qualify,Sling Blue qualify,Sling Orange + Blue qualify,AT&T TV Entertainment qualify,AT&T TV Choice qualify,AT&T TV Ultimate qualify,AT&T TV Premier qualify,YouTube TV qualify,Hulu with Live TV qualify,Fubo TV qualify,KlowdTV qualify,Frndly TV qualify,Vidgo qualify,Tvision Live TV qualify,Tvision Live TV+ qualify,Tvision Live Zone qualify,Tvision Vibe qualify,Placeholder4 qualify,Placeholder5 qualify,Placeholder6 qualify,Placeholder7 qualify,Spectrum TV Essentials qualify,Highlight Network,Highlight Service,Highlight Result A,Highlight Result B,User Mark
Starz Encore Family,,Premium movies,,,,,,Starz,Starz,Yes,Yes,,,,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz Encore Suspense,,Premium movies,,,,,,Starz,Starz,Yes,Yes,,,,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz Encore Westerns,,Premium movies,,,,,,Starz,Starz,Yes,Yes,,,,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz in Black,Starz InBlack,Premium movies,,,,,,,,,,,,Showtime + Starz + Epix,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz Kids & Family,,Premium movies,,Starz,Starz,Starz,Starz,Starz,Starz,Starz,Yes,,,Showtime + Starz + Epix,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Stingray Karaoke,,Music,,,Stingray Karaoke,Stingray Karaoke,Stingray Karaoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Stingray Music,,Music,,,,,,,,,,,,,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Sundance Now,,Movies,,,,,,,,,,Sundance Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Sundance TV,"Sundance, SundanceTV",Entertainment,,Yes,Hollywood Extra,Hollywood Extra,Hollywood Extra,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Supercanal Caribe,,International,,,Caribe Service,Caribe Service,Caribe Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
SUR Perú,SUR Peru,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Syfy,,Entertainment,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
TAN TV,TAN,International,,,,,,Korean,Korean,Korean,Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Tastemade,,Lifestyle,,Yes,,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
TBS,,Entertainment,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
TCM,Turner Classic Movies,Movies,,,Hollywood Extra,Hollywood Extra,Hollywood Extra,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Teen Nick,Teennick,Kids and family,,Yes,Kids Extra,Kids Extra,Kids Extra,Yes,Yes,Yes,Yes,Yes,,Fubo Extra,,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Tele El Salvador,,International,,,Centroamérica Service,Centroamérica Service,Centroamérica Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
TeleCentro,,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
